iter	MultiClass
0	1.012095661
1	0.9445945307
2	0.8850854056
3	0.8470505453
4	0.8093206938
5	0.7758068335
6	0.7487978365
7	0.7251484447
8	0.7031248549
9	0.6863613269
10	0.6714070516
11	0.6596353143
12	0.6490964229
13	0.6383208807
14	0.6273466779
15	0.6183136958
16	0.6101877841
17	0.6042469783
18	0.5986414741
19	0.5936355609
20	0.5927977247
21	0.588659407
22	0.5836836641
23	0.5804795405
24	0.5775676708
25	0.5766459878
26	0.5744912157
27	0.5707249219
28	0.5677531751
29	0.5671937822
30	0.5648348177
31	0.562921673
32	0.5608429564
33	0.5599545957
34	0.5584572686
35	0.5584560533
36	0.5584550683
37	0.557044557
38	0.556384399
39	0.555658784
40	0.5551422246
41	0.5543294866
42	0.5537988375
43	0.5528647126
44	0.5519379459
45	0.5502979257
46	0.5486449356
47	0.5481057453
48	0.54712706
49	0.5456981534
50	0.544977849
51	0.5446548359
52	0.5440693418
53	0.5439890596
54	0.5430362511
55	0.5415088006
56	0.5407176512
57	0.5405901146
58	0.5394797359
59	0.5394545067
60	0.5393773111
61	0.5387518406
62	0.5387515218
63	0.5385087288
64	0.5377974741
65	0.5372281061
66	0.5370494077
67	0.5364905938
68	0.5343830812
69	0.5343789026
70	0.5343748551
71	0.5342495727
72	0.5335412379
73	0.5332715133
74	0.5326536422
75	0.5323455507
76	0.5321760268
77	0.532063802
78	0.5319485814
79	0.5308969124
80	0.5301073956
81	0.5298394133
82	0.5292456781
83	0.5291632538
84	0.5288558618
85	0.5283900728
86	0.5280266442
87	0.5276124085
88	0.5260087034
89	0.5256402473
90	0.5254751577
91	0.5242844359
92	0.5231624542
93	0.5221017119
94	0.5207335677
95	0.5207323714
96	0.5189882851
97	0.5186211225
98	0.5177546142
99	0.5167413395
100	0.5154945218
101	0.5146790036
102	0.5139675334
103	0.5132204489
104	0.5120694765
105	0.5113383715
106	0.5106746262
107	0.509659355
108	0.5085000549
109	0.5069780552
110	0.5062737488
111	0.505387602
112	0.5042865555
113	0.5030639502
114	0.5023905111
115	0.5017460922
116	0.5010835894
117	0.5005234569
118	0.5002946349
119	0.4993374809
120	0.4984802229
121	0.4976450039
122	0.4962931478
123	0.4956410056
124	0.4949732907
125	0.4940603436
126	0.4931925813
127	0.4925822222
128	0.4924202011
129	0.4918309518
130	0.4912124487
131	0.4904725663
132	0.4900597192
133	0.4894870174
134	0.4892325054
135	0.4886782035
136	0.4879778595
137	0.4869278946
138	0.4858204686
139	0.4846360266
140	0.4833715142
141	0.4830799136
142	0.4822603608
143	0.4814138757
144	0.4808129024
145	0.4803201581
146	0.4798182314
147	0.4795617811
148	0.4789688268
149	0.4783169596
150	0.4778807334
151	0.477351317
152	0.4767702363
153	0.4761049222
154	0.4752309397
155	0.474472101
156	0.4737443576
157	0.4732367066
158	0.4728705111
159	0.4722291759
160	0.4714466459
161	0.4706826675
162	0.4698638576
163	0.4691646774
164	0.468704483
165	0.4680227008
166	0.4670723887
167	0.4664233595
168	0.4660325635
169	0.4655923071
170	0.4646857271
171	0.4641562267
172	0.4637323658
173	0.4628358609
174	0.4621152006
175	0.4616138132
176	0.4612771571
177	0.4608834039
178	0.460242347
179	0.4597592007
180	0.4593443259
181	0.4588831235
182	0.4585308921
183	0.4577691783
184	0.4570998039
185	0.4567008918
186	0.4564121832
187	0.4558831652
188	0.4554240611
189	0.454364706
190	0.4541079072
191	0.4534436015
192	0.4530696766
193	0.4527324151
194	0.4522351253
195	0.4519733915
196	0.4515301182
197	0.4511043588
198	0.4507914232
199	0.450360166
200	0.4501257616
201	0.4498345682
202	0.4493720926
203	0.4492051848
204	0.4484140616
205	0.4479343184
206	0.4470075232
207	0.4463124807
208	0.4459110585
209	0.4456657631
210	0.4453004197
211	0.4443542273
212	0.4437808043
213	0.443330439
214	0.4431308894
215	0.4427128443
216	0.4424135995
217	0.4417543739
218	0.4410585558
219	0.4405923767
220	0.439801511
221	0.4392533026
222	0.4387186725
223	0.4384521245
224	0.4380938818
225	0.4374028138
226	0.4369367685
227	0.4366250199
228	0.4358020311
229	0.4352526765
230	0.4348034105
231	0.4344462092
232	0.4338310235
233	0.4333760759
234	0.4329268562
235	0.4327686509
236	0.4322646176
237	0.4320116276
238	0.4316060879
239	0.431131688
240	0.4305368724
241	0.4302958294
242	0.4300135006
243	0.4298308448
244	0.4296357645
245	0.4293814343
246	0.4290721256
247	0.4288348901
248	0.4284133326
249	0.4280644804
250	0.4278583586
251	0.4272698196
252	0.4268916031
253	0.4263416671
254	0.425729113
255	0.4250429871
256	0.424624299
257	0.424222839
258	0.4236815434
259	0.4233268327
260	0.4228080102
261	0.4226280037
262	0.4221690153
263	0.4217199696
264	0.4214842991
265	0.4209587432
266	0.4208207232
267	0.4204120911
268	0.4199697832
269	0.4193718762
270	0.4191276467
271	0.4185433414
272	0.4180153389
273	0.4177307302
274	0.4174430548
275	0.4172241321
276	0.4166599256
277	0.416289527
278	0.4158023829
279	0.4153395184
280	0.4151394008
281	0.4148928194
282	0.4144771399
283	0.4141277277
284	0.4139078663
285	0.4136778647
286	0.4127742439
287	0.4124751422
288	0.4120935262
289	0.4119301198
290	0.4111011335
291	0.4108465292
292	0.4103708315
293	0.4101137084
294	0.409817839
295	0.409386273
296	0.4091096938
297	0.408661777
298	0.408230091
299	0.4076879254
