iter	Passed	Remaining
0	182	54652
1	233	34852
2	281	27886
3	310	23006
4	363	21458
5	412	20235
6	476	19957
7	551	20121
8	682	22070
9	799	23198
10	856	22507
11	970	23300
12	1058	23374
13	1132	23137
14	1237	23512
15	1311	23279
16	1379	22959
17	1442	22604
18	1493	22094
19	1544	21618
20	1564	20789
21	1610	20354
22	1660	19995
23	1708	19646
24	1749	19241
25	1766	18614
26	1809	18297
27	1849	17966
28	1896	17721
29	1913	17225
30	1955	16969
31	1994	16707
32	2031	16439
33	2051	16051
34	2087	15801
35	2096	15374
36	2105	14963
37	2141	14763
38	2175	14559
39	2212	14381
40	2226	14063
41	2261	13893
42	2290	13688
43	2328	13549
44	2367	13415
45	2404	13276
46	2442	13149
47	2472	12981
48	2510	12859
49	2549	12745
50	2579	12592
51	2629	12540
52	2669	12440
53	2689	12253
54	2730	12161
55	2771	12076
56	2808	11972
57	2832	11818
58	2870	11724
59	2883	11534
60	2910	11402
61	3006	11542
62	3025	11382
63	3066	11306
64	3096	11193
65	3144	11147
66	3163	11000
67	3201	10923
68	3241	10853
69	3257	10702
70	3271	10551
71	3300	10450
72	3334	10368
73	3373	10303
74	3414	10243
75	3454	10182
76	3491	10111
77	3516	10008
78	3536	9892
79	3576	9834
80	3615	9775
81	3654	9714
82	3691	9652
83	3707	9532
84	3741	9462
85	3777	9398
86	3815	9340
87	3857	9292
88	3899	9244
89	3935	9183
90	3961	9097
91	4000	9045
92	4039	8991
93	4078	8938
94	4117	8885
95	4131	8779
96	4168	8723
97	4206	8670
98	4246	8621
99	4284	8568
100	4321	8514
101	4373	8489
102	4418	8450
103	4462	8410
104	4502	8360
105	4537	8304
106	4577	8256
107	4617	8209
108	4658	8162
109	4698	8115
110	4737	8067
111	4773	8013
112	4815	7968
113	4854	7920
114	4903	7887
115	4945	7844
116	4987	7800
117	5027	7754
118	5066	7706
119	5107	7660
120	5151	7620
121	5194	7579
122	5238	7539
123	5281	7496
124	5322	7451
125	5369	7415
126	5410	7369
127	5466	7345
128	5505	7298
129	5548	7256
130	5592	7214
131	5635	7172
132	5681	7133
133	5721	7088
134	5757	7036
135	5797	6990
136	5833	6940
137	5870	6891
138	5909	6844
139	5950	6800
140	5989	6754
141	6029	6709
142	6067	6662
143	6107	6616
144	6145	6569
145	6186	6525
146	6220	6474
147	6258	6428
148	6299	6384
149	6336	6336
150	6374	6289
151	6422	6253
152	6469	6216
153	6515	6176
154	6565	6142
155	6605	6097
156	6645	6053
157	6685	6008
158	6726	5965
159	6765	5920
160	6806	5876
161	6845	5831
162	6885	5787
163	6933	5749
164	6978	5709
165	7020	5666
166	7062	5624
167	7105	5582
168	7150	5542
169	7195	5502
170	7241	5462
171	7282	5419
172	7325	5377
173	7455	5398
174	7580	5414
175	7697	5423
176	7828	5439
177	7875	5397
178	7919	5353
179	7964	5309
180	8010	5266
181	8059	5225
182	8101	5179
183	8144	5134
184	8188	5090
185	8233	5046
186	8272	4999
187	8316	4954
188	8355	4906
189	8393	4859
190	8479	4838
191	8630	4854
192	8702	4824
193	8762	4787
194	8861	4771
195	8977	4763
196	9024	4718
197	9072	4673
198	9256	4698
199	9391	4695
200	9436	4647
201	9492	4605
202	9551	4564
203	9609	4522
204	9656	4474
205	9702	4427
206	9752	4381
207	9804	4336
208	9851	4289
209	9898	4242
210	9948	4196
211	10101	4193
212	10189	4161
213	10248	4118
214	10301	4072
215	10355	4027
216	10423	3986
217	10478	3941
218	10535	3896
219	10586	3849
220	10632	3800
221	10677	3751
222	10718	3700
223	10766	3652
224	10813	3604
225	10852	3553
226	10892	3502
227	10930	3451
228	10970	3401
229	11008	3350
230	11049	3300
231	11091	3250
232	11130	3200
233	11189	3156
234	11232	3106
235	11278	3058
236	11322	3009
237	11367	2961
238	11407	2911
239	11448	2862
240	11492	2813
241	11525	2762
242	11563	2712
243	11602	2662
244	11637	2612
245	11677	2563
246	11716	2513
247	11756	2465
248	11798	2416
249	11838	2367
250	11877	2318
251	11927	2271
252	11966	2223
253	12010	2175
254	12050	2126
255	12090	2078
256	12128	2029
257	12172	1981
258	12213	1933
259	12256	1885
260	12301	1838
261	12341	1790
262	12382	1741
263	12428	1694
264	12477	1647
265	12524	1600
266	12570	1553
267	12611	1505
268	12654	1458
269	12701	1411
270	12740	1363
271	12780	1315
272	12826	1268
273	12871	1221
274	12912	1173
275	12955	1126
276	12999	1079
277	13042	1032
278	13083	984
279	13126	937
280	13173	890
281	13217	843
282	13259	796
283	13298	749
284	13337	701
285	13376	654
286	13417	607
287	13456	560
288	13499	513
289	13539	466
290	13579	419
291	13617	373
292	13655	326
293	13694	279
294	13733	232
295	13771	186
296	13813	139
297	13853	92
298	13890	46
299	13930	0
